,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
636,2509276063,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Aequorivita sublithincola QSSC9-3, DSM 14238",DOE Joint Genome Institute (JGI),2509276063,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita sublithincola,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",sea water from Vestfold Hills Antarctica,Yes,,3520671,3242,36,1,2,12,28,0,2,10,0,3,0,1,31,1.161290323,22,36.66666667
1063,2524614650,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aerococcus urinaeequi DSM 20341,DOE Joint Genome Institute (JGI),2524614650,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi,Yes,Host-associated,Animal,Unclassified,Digestive system,Host,Horse urine,Yes,,1994147,1874,10,0,2,6,10,0,0,1,0,1,0,0,9,1.111111111,,0
510,2524614540,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aestuariibacter salexigens DSM 15300,DOE Joint Genome Institute (JGI),2524614540,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,Aestuariibacter salexigens,Yes,Environmental,Aquatic,Unclassified,Sediment,Sediment,Sediment sample,Yes,,3785834,3491,81,1,2,35,54,0,0,2,2,1,0,0,54,1.5,6,20
637,2523533600,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aestuariimicrobium kwangyangense DSM 21549,DOE Joint Genome Institute (JGI),2523533600,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Aestuariimicrobium,Aestuariimicrobium kwangyangense,Yes,Environmental,Aquatic,Oceanic,Marine,"Aquatic, Marine, Sediment",oil-contaminated tidal flat sediment,Yes,,2990149,2692,14,0,2,6,11,0,1,4,1,0,0,0,11,1.272727273,1,3.448275862
608,2556921008,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Afifella pfennigii DSM 17143,DOE Joint Genome Institute (JGI),2556921008,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,Afifella pfennigii,Yes,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,"Aquatic, Brackish water, Mat",Benthic microbial mat in a brackish pond (R2) located on the rim of the Rangiroa atoll,Yes,,3872586,3787,39,0,2,20,27,5,1,0,0,1,0,0,27,1.444444444,1,8.333333333
1064,2561511082,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Agathobaculum desmolans ATCC 43058,DOE Joint Genome Institute (JGI),2561511082,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum desmolans,Yes,Host-associated,Animal,Fecal,Digestive system,Host,"feces, animal (cat feces) New York, United States",Yes,,2652605,2763,25,1,2,15,22,0,0,0,1,2,0,1,23,1.086956522,,0
492,2515154019,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aggregatibacter actinomycetemcomitans sv. C DSM 8324,DOE Joint Genome Institute (JGI),2515154019,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,Yes,Host-associated,Human,Unclassified,Skin,"Host, Human",abscess,Yes,,2085887,2112,6,1,2,3,8,0,0,1,0,1,0,0,6,1,,0
336,2524023149,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Agrococcus lahaulensis DSM 17612,DOE Joint Genome Institute (JGI),2524023149,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus lahaulensis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"Isolated from soil, 0.45&#8197;m below an ice glacier",Yes,,2677837,2687,16,0,2,11,15,0,1,4,1,0,0,0,15,1.066666667,,0
839,2524023150,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Agromyces italicus DSM 16388,DOE Joint Genome Institute (JGI),2524023150,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces italicus,Yes,Environmental,Terrestrial,Unclassified,Geologic,Cave,Wall of a tomb,Yes,,3730505,3451,28,0,2,9,18,0,1,12,0,1,0,0,18,1.555555556,3,9.090909091
105,2524023187,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Agromyces subbeticus DSM 16689,DOE Joint Genome Institute (JGI),2524023187,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces subbeticus,Yes,Environmental,Unclassified,Unclassified,Unclassified,Cave,"Blue-gray cyanobacterial biofilm covering the walls of the Cave of Bats, Zuheros, Cordoba",Yes,,4303916,4026,32,0,2,10,19,0,1,15,1,1,0,0,20,1.6,4,11.42857143
609,2517572121,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Ahrensia kielensis DSM 5890,DOE Joint Genome Institute (JGI),2517572121,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,Ahrensia kielensis,Yes,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,"Aquatic, Brackish water",Brackish water from the Baltic Sea,Yes,,3364770,3287,40,0,2,20,30,3,0,0,0,1,0,0,29,1.379310345,12,21.81818182
7,2524023144,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alcaligenes faecalis phenolicus DSM 16503,DOE Joint Genome Institute (JGI),2524023144,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Aquatic, Wastewater",Wastewater bioprocessor,Yes,,4248310,3993,35,1,2,22,31,0,0,0,0,1,0,0,29,1.206896552,8,15.38461538
638,2519899678,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Algicola sagamiensis DSM 14643,DOE Joint Genome Institute (JGI),2519899678,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola,Algicola sagamiensis,Yes,Environmental,Aquatic,Coastal,Marine,"Aquatic, Marine, Sea water",Neritic sea water,Yes,,4343354,4099,62,1,2,31,49,0,0,1,2,1,0,0,49,1.265306122,8,15.09433962
639,2523533553,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Algoriphagus mannitolivorans DSM 15301,DOE Joint Genome Institute (JGI),2523533553,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus mannitolivorans,Yes,Environmental,Aquatic,Intertidal zone,Marine,"Aquatic, Marine, Sediment","Sediment sample of getbol, Korean tidal flat",Yes,,4152949,3700,55,1,2,28,44,0,0,4,2,2,0,1,46,1.195652174,10,15.38461538
640,2523533625,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Algoriphagus marincola DSM 16067,DOE Joint Genome Institute (JGI),2523533625,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus marincola,Yes,Environmental,Aquatic,Coastal,Marine,"Aquatic, Marine, Sea water",Sea water,Yes,,4431678,3951,55,1,2,28,44,0,1,3,2,4,0,0,48,1.145833333,11,20.37037037
337,2523231064,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Algoriphagus terrigena DSM 22685,DOE Joint Genome Institute (JGI),2523231064,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus terrigena,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,soil,Yes,,5783376,5016,75,1,2,37,55,0,3,4,3,4,0,0,62,1.209677419,12,26.66666667
61,2523231017,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Algoriphagus vanfongensis DSM 17529,DOE Joint Genome Institute (JGI),2523231017,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus vanfongensis,Yes,Host-associated,Unclassified,Unclassified,Unclassified,"Aquatic, Host, Marine",Coral Palithoa sp.,Yes,,4712065,4085,71,1,2,28,46,0,0,5,2,3,0,0,48,1.479166667,9,23.68421053
641,2523533543,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aliagarivorans marinus DSM 23064,DOE Joint Genome Institute (JGI),2523533543,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliagarivorans,Aliagarivorans marinus,Yes,Environmental,Aquatic,Coastal,Marine,"Aquatic, Marine, Sea water",seawater sample,Yes,,4880341,4520,59,1,2,23,40,0,0,2,1,1,0,0,39,1.512820513,,0
642,2524614757,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Aliagarivorans taiwanensis DSM 22990,DOE Joint Genome Institute (JGI),2524614757,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliagarivorans,Aliagarivorans taiwanensis,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",Sea water,Yes,,4415338,4225,45,1,2,16,33,0,0,2,0,2,0,0,32,1.40625,,0
274,644736325,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Alicyclobacillus acidocaldarius acidocaldarius 104-IA, DSM 446",DOE Joint Genome Institute (JGI),644736325,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,Yes,Environmental,Aquatic,Unclassified,Thermal springs,"Aquatic, Hot spring","Yellowstone National Park, acid hot spring",Yes,,3205686,3235,19,0,1,17,21,0,0,3,1,1,0,0,22,0.863636364,,0
338,2524023143,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alicyclobacillus contaminans DSM 17975,DOE Joint Genome Institute (JGI),2524023143,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus contaminans,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"Soil, crop field",Yes,,3274264,3539,26,0,1,18,27,0,0,4,1,1,0,0,28,0.928571429,,0
117,2523533552,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alicyclobacillus herbarius DSM 13609,DOE Joint Genome Institute (JGI),2523533552,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus herbarius,Yes,Host-associated,Plants,Unclassified,Unclassified,"Aquatic, Plants",Herbal tea made from the dried flowers of hibiscus,Yes,,3312319,3324,20,0,1,9,20,0,0,7,1,1,0,0,21,0.952380952,8,27.5862069
118,2513237116,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alicyclobacillus pomorum DSM 14955,DOE Joint Genome Institute (JGI),2513237116,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus pomorum,Yes,Host-associated,Plants,Unclassified,Unclassified,"Fruits, Plants","spoiled mixed fruit juice (containing fresh orange, apple, mango, pineapple and raspberry juice imported into Japan from the USA).",Yes,,3400263,3534,22,0,1,17,23,0,0,4,2,1,0,0,25,0.88,13,35.13513514
1011,2509601035,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Alistipes finegoldii AHN 2437, DSM 17242",DOE Joint Genome Institute (JGI),2509601035,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Yes,Host-associated,Human,Unclassified,Digestive system,"Host, Human","pediatric patients with inflamed, gangrenous or non-inflamed appendices",Yes,,3734239,3302,24,1,2,17,23,0,0,1,0,3,0,0,23,1.043478261,22,34.375
493,2517572213,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project","Alistipes onderdonkii WAL 8169, DSM 19147",DOE Joint Genome Institute (JGI),2517572213,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Yes,Host-associated,Human,Unclassified,Skin,"Host, Human, Human abdomin",Human abdominal abscess,Yes,,3865648,3225,31,1,2,24,32,0,0,1,0,2,0,0,31,1,2,3.773584906
610,2509276023,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),"Alkaliflexus imshenetskii Z-7010, DSM 15055",DOE Joint Genome Institute (JGI),2509276023,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkaliflexus,Alkaliflexus imshenetskii,Yes,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,"Aquatic, Soda lakes","alkaline lake, Verkhneye Beloye (Central Asia)",Yes,,4122270,3393,60,1,2,43,58,0,0,1,1,2,0,0,58,1.034482759,10,16.12903226
828,2558309003,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alkaliphilus transvaalensis ATCC 700919,DOE Joint Genome Institute (JGI),2558309003,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus transvaalensis,Yes,Engineered,Wastewater,Mine water,Industrial wastewater,Aquatic,"Water from a gold mine containment dam at a depth of 32 km, Ventersdorp Supergroup lavas, South Africa, 1999",Yes,,4024838,3800,43,1,2,27,43,0,0,7,3,3,1,0,45,0.955555556,4,15.38461538
611,2515154091,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Alkalispirochaeta alkalica DSM 8900,DOE Joint Genome Institute (JGI),2515154091,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Alkalispirochaeta,Alkalispirochaeta alkalica,Yes,Environmental,Aquatic,Unclassified,Non-marine Saline and Alkaline,"Aquatic, Soda lakes","Kenya, Lake Magadi",Yes,,3360050,2939,57,1,2,25,54,0,19,3,3,2,0,0,75,0.76,,0
339,2558860994,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alkanindiges illinoisensis DSM 15370,DOE Joint Genome Institute (JGI),2558860994,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Alkanindiges illinoisensis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,Crude oil-contaminated soil,Yes,,3305253,3119,22,1,2,14,21,0,0,0,0,2,0,0,20,1.1,,0
985,2516493028,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Allobaculum stercoricanis DSM 13633,DOE Joint Genome Institute (JGI),2516493028,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Allobaculum stercoricanis,Yes,Host-associated,Mammals,Fecal,Digestive system,Host,"Dog feces,male Labrador",Yes,,2052877,1853,11,1,2,8,12,0,0,1,0,2,0,1,12,0.916666667,,0
151,2518285549,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Allofustis seminis DSM 15817,DOE Joint Genome Institute (JGI),2518285549,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Allofustis,Allofustis seminis,Yes,Host-associated,Mammals,Unclassified,Unclassified,"Host, Pig",Stored porcine semen,Yes,,1441290,1478,9,0,2,6,10,0,0,1,0,1,0,0,9,1,,0
1065,2519103191,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alloscardovia criceti DSM 17774,DOE Joint Genome Institute (JGI),2519103191,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia criceti,Yes,Host-associated,Animal,Unclassified,Digestive system,Host,Dental plaque of golden hamsters,Yes,,1884654,1594,10,0,2,4,8,0,1,0,0,0,0,3,10,1,5,12.82051282
1012,2523533599,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Alloscardovia omnicolens DSM 21503,DOE Joint Genome Institute (JGI),2523533599,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,Yes,Host-associated,Human,Oral,Digestive system,"Host, Human","human tonsil, 25-yr-old woman",Yes,,1847146,1627,13,0,2,4,8,0,1,1,0,0,0,5,12,1.083333333,,0
8,2541046957,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Aminiphilus circumscriptus DSM 16581,DOE Joint Genome Institute (JGI),2541046957,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminiphilus,Aminiphilus circumscriptus,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Bioreactor, Wastewater","Upflow anaerobic sludge bed reactor treating brewery wastewater in Bogota, Colombia",Yes,,3223212,2865,40,1,1,16,32,0,6,3,4,1,0,0,41,0.975609756,1,7.142857143
9,646564503,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Aminobacterium colombiense ALA-1, DSM 12261",DOE Joint Genome Institute (JGI),646564503,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,Aminobacterium colombiense,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Aquatic, Wastewater treatment plant",Anaerobic lagoon of dairy wastewater treatment plant in Colombia,Yes,,1980592,1971,12,0,1,2,8,0,0,4,0,1,0,1,9,1.333333333,8,23.52941176
10,2541046969,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Aminobacterium mobile DSM 12262,DOE Joint Genome Institute (JGI),2541046969,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,Aminobacterium mobile,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater treatment plant","anaerobic sludge from a dairy wastewater treatment plant, Santa Fe de Bogota, Colombia",Yes,,2105968,2031,16,0,1,3,11,0,0,5,0,1,0,1,12,1.333333333,4,12.90322581
11,2502790015,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Aminomonas paucivorans GLU-3, DSM 12260",DOE Joint Genome Institute (JGI),2502790015,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminomonas,Aminomonas paucivorans,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Aquatic, Wastewater treatment plant",Anaerobic lagoon of a dairy wastewater treatment plant in Colombia,Yes,,2630120,2494,37,0,1,17,27,0,0,2,5,1,0,0,32,1.15625,9,21.42857143
62,2517572147,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Amorphus coralli DSM 19760,DOE Joint Genome Institute (JGI),2517572147,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Amorphus,Amorphus coralli,Yes,Host-associated,Unclassified,Unclassified,Unclassified,"Aquatic, Host, Marine",Coral mucus,Yes,,4317545,3952,36,1,2,17,25,3,1,0,1,2,0,0,26,1.384615385,,0
643,2519899692,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Amphritea japonica ATCC BAA-1530,DOE Joint Genome Institute (JGI),2519899692,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea japonica,Yes,Environmental,Aquatic,Oceanic,Marine,"Aquatic, Marine, Sediment","Marine sediment beside whale carcasses isolation date: September, 2003",Yes,,3801615,3559,51,1,2,25,38,0,0,2,0,1,0,0,36,1.416666667,7,14.28571429
340,2515154032,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Amycolatopsis taiwanensis DSM 45107,DOE Joint Genome Institute (JGI),2515154032,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis taiwanensis,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"Soil, Yilan county, Taiwan",Yes,,8777509,8504,88,2,2,26,58,0,1,44,4,2,0,0,61,1.442622951,2,13.33333333
